[2026-07-18T21:31:16.868Z] GET file:///Users/navi/navi3582.github.io/index.html → 200 (7ms, 24811B)
[2026-07-18T21:31:16.883Z] GET file:///Users/navi/navi3582.github.io/headshot.jpg → 200 (3ms, 64329B)
[2026-07-18T21:32:00.652Z] GET file:///Users/navi/navi3582.github.io/index.html → 200 (1ms, 24811B)
[2026-07-18T21:32:00.656Z] GET file:///Users/navi/navi3582.github.io/headshot.jpg → 200 (2ms, 64329B)
[2026-07-18T21:32:01.849Z] GET file:///Users/navi/navi3582.github.io/index.html → 200 (?ms, 24811B)
[2026-07-18T21:32:01.852Z] GET file:///Users/navi/navi3582.github.io/headshot.jpg → 200 (2ms, 64329B)
[2026-07-18T21:32:41.397Z] GET file:///Users/navi/navi3582.github.io/index.html → 200 (1ms, 24811B)
[2026-07-18T21:32:41.403Z] GET file:///Users/navi/navi3582.github.io/headshot.jpg → 200 (1ms, 64329B)
[2026-07-18T21:33:10.624Z] GET file:///Users/navi/navi3582.github.io/index.html → 200 (?ms, 24842B)
[2026-07-18T21:33:10.627Z] GET file:///Users/navi/navi3582.github.io/headshot.jpg → 200 (2ms, 64329B)
[2026-07-18T21:34:48.577Z] GET https://navi3582.github.io/ → 200 (242ms, 9148B)
[2026-07-18T21:34:48.834Z] GET https://navi3582.github.io/headshot.jpg → pending (?ms, ?B)
[2026-07-18T21:53:42.549Z] GET file:///Users/navi/navi3582.github.io/index.html → 200 (20ms, ?B)
[2026-07-18T21:53:42.698Z] GET file:///Users/navi/navi3582.github.io/headshot.jpg → 200 (1ms, 64329B)
[2026-07-18T21:54:03.832Z] GET file:///Users/navi/navi3582.github.io/index.html → 200 (1ms, 26827B)
[2026-07-18T21:54:03.836Z] GET file:///Users/navi/navi3582.github.io/headshot.jpg → 200 (2ms, 64329B)
